start	end	type
1	2	ENTRY
1	3	EXIT
5	6	PARENT_OF
5	7	PARENT_OF
5	8	PARENT_OF
5	9	PARENT_OF
10	11	ENTRY
10	12	EXIT
10	13	PARENT_OF
5	10	PARENT_OF
5	14	PARENT_OF
5	15	PARENT_OF
4	5	PARENT_OF
16	17	PARENT_OF
16	18	PARENT_OF
16	19	PARENT_OF
16	20	PARENT_OF
21	22	ENTRY
21	23	EXIT
25	26	ENTRY
25	27	EXIT
25	28	PARENT_OF
25	29	PARENT_OF
32	33	PARENT_OF
31	32	PARENT_OF
31	34	PARENT_OF
31	35	PARENT_OF
31	36	PARENT_OF
31	37	PARENT_OF
30	31	PARENT_OF
38	39	PARENT_OF
38	40	PARENT_OF
38	41	PARENT_OF
38	42	PARENT_OF
38	43	PARENT_OF
30	38	PARENT_OF
25	30	PARENT_OF
25	44	PARENT_OF
25	45	PARENT_OF
25	46	PARENT_OF
25	47	PARENT_OF
24	25	PARENT_OF
21	24	PARENT_OF
16	21	PARENT_OF
16	48	PARENT_OF
16	49	PARENT_OF
4	16	PARENT_OF
51	52	PARENT_OF
50	51	PARENT_OF
54	55	PARENT_OF
53	54	PARENT_OF
58	59	PARENT_OF
57	58	PARENT_OF
57	60	PARENT_OF
56	57	PARENT_OF
56	61	PARENT_OF
53	56	PARENT_OF
50	53	PARENT_OF
4	50	PARENT_OF
1	4	PARENT_OF
0	1	FILE_OF
